movie_id,title,year,runtime,genres,actor_ids
tt13758154,Idealan posao,2020,90,"Action,Comedy,Crime","nm0769389,nm0849545,nm6584235,nm10070308,nm2578405,nm4426952,nm8317429"
tt13758506,Troche w ciazy,2020,75,Comedy,"nm4667278,nm2771306,nm2382963,nm0302304"
tt14396848,Leaving,2020,\N,"Drama,Horror","nm8134569,nm12473133,nm7967233,nm9915917"
tt14399148,Snuff Tapes,2020,98,Horror,"nm12465438,nm10967767,nm12465440,nm14894303"
tt14399502,Manusher Bagan,2020,\N,Drama,"nm12509854,nm7769463,nm9034224,nm8158051"
tt14405332,The Navajo Kid,2020,\N,Western,nm6025874
tt17297244,All Shades of Girls,2020,89,Drama,"nm13986472,nm13644269,nm8673980,nm13179699,nm13089979,nm15222636"
tt18954030,Jannat House,2020,\N,Action,"nm11784756,nm11543183,nm13507970,nm11534740,nm9438127"
tt22041930,Undecided,2020,\N,Comedy,"nm8431824,nm10869590,nm14037169"
tt23854768,Balada para niños muertos (A Ballad for Dead Children),2020,80,"Biography,Documentary,Horror","nm7514535,nm0652213,nm0739311"
tt26672329,Aphrodisiac,2020,\N,Drama,"nm6334452,nm11396841,nm2143567,nm9664746"
tt26672453,Fairytales,2020,\N,Drama,"nm13632822,nm13616302,nm1415035,nm13145978,nm7970787,nm13072243"
tt27898297,Chitty Chitty Bang Bang Coyote Cavern Productions,2020,\N,Musical,nm14800678
tt27903543,Soca Prison,2020,\N,Drama,nm4838051
tt27905740,Comme il Faut: Sangre de Barracas,2020,65,Drama,"nm14905821,nm14905818,nm14905819,nm0547681"
tt29173894,Nareye Sokoot,2020,\N,\N,"nm9615658,nm12748622,nm6422752,nm8880646,nm6264177,nm0707308,nm14317201,nm6419582,nm15265542"
tt29195773,To'ygacha sho'xlik,2020,\N,Comedy,"nm15270233,nm15270238,nm8841357,nm15270235,nm4705273,nm15270236"
tt3699816,Fierce,2020,100,"Crime,Drama,Thriller","nm0583951,nm1140161,nm3255821,nm5082721"
tt3723784,House of Many Sorrows,2020,77,"Horror,Thriller","nm5938516,nm0000259,nm4030776,nm0540176,nm1330023"
tt3727948,Anonymous Killers,2020,100,"Crime,Horror,Thriller","nm0409430,nm7515939,nm6216310,nm8279086"
tt4265536,Legal ThreaT,2020,88,"Mystery,Sci-Fi,Thriller","nm5993675,nm0096013,nm1815557,nm2866753,nm8194847,nm1771588,nm3581673,nm6966191"
tt4269310,Chronicle of a Serial Killer,2020,99,Thriller,"nm1468541,nm0000663,nm0786639,nm0229422"
tt5323494,Anja,2020,96,"Crime,Drama,Mystery","nm6660239,nm8876219,nm4405132,nm8767043"
tt6122480,American Reject,2020,90,"Comedy,Music","nm3544163,nm2807560,nm4745222,nm0004854"
tt6135828,Stateside,2020,96,Drama,"nm0174566,nm2470722,nm5615429,nm0908185"
tt6769404,Sensational,2020,125,Documentary,nm6026760
